                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.86239,                0.57575,                 1.0244,                0.88472,                0.81762,                0.88035,                0.62538,                  1.016,                0.61669,                 1.0455,               0.001783,               0.001783,               0.001783
                     86,                0.85807,                0.56401,                 1.0152,                0.86992,                0.82572,                0.88356,                0.63967,                0.97409,                0.58938,                 1.0281,               0.001684,               0.001684,               0.001684
                     87,                0.85192,                0.55787,                 1.0147,                0.89702,                0.83357,                0.88315,                0.63371,                0.97306,                0.59116,                 1.0259,               0.001585,               0.001585,               0.001585
                     88,                0.82499,                0.54184,                 1.0077,                0.87786,                  0.835,                0.89051,                 0.6485,                0.96582,                0.59071,                 1.0225,               0.001486,               0.001486,               0.001486
                     89,                0.83523,                0.54996,                 1.0067,                0.89728,                0.81007,                0.87488,                0.63202,                0.98837,                0.60129,                 1.0251,               0.001387,               0.001387,               0.001387
                     90,                 0.8337,                0.54973,                 1.0081,                0.89887,                0.81882,                 0.8855,                0.65146,                0.95825,                0.58568,                 1.0133,               0.001288,               0.001288,               0.001288
                     91,                0.82609,                0.50682,                0.94531,                0.87258,                0.81869,                0.87688,                  0.616,                 1.0091,                0.60696,                 1.0625,               0.001189,               0.001189,               0.001189
                     92,                0.79992,                0.48398,                0.92617,                0.87981,                0.85148,                0.89009,                 0.6428,                0.96922,                0.59132,                 1.0229,                0.00109,                0.00109,                0.00109
                     93,                0.79171,                0.47912,                0.92749,                0.91615,                0.83553,                0.88487,                0.64866,                0.97116,                0.59142,                 1.0243,               0.000991,               0.000991,               0.000991
                     94,                 0.7903,                0.47531,                0.92428,                 0.8634,                0.85202,                0.88011,                0.64462,                0.96083,                 0.5924,                  1.027,               0.000892,               0.000892,               0.000892
                     95,                0.77211,                0.46123,                0.92477,                0.88827,                0.85003,                0.89324,                0.66141,                0.94203,                0.57225,                 1.0202,               0.000793,               0.000793,               0.000793
                     96,                0.77717,                0.46326,                0.92585,                0.90404,                0.85988,                0.89032,                0.64609,                0.95734,                0.57986,                 1.0248,               0.000694,               0.000694,               0.000694
                     97,                0.76698,                0.46319,                0.91937,                0.90858,                0.84468,                0.89097,                0.64951,                0.95644,                0.57403,                 1.0226,               0.000595,               0.000595,               0.000595
                     98,                0.75917,                 0.4533,                0.91119,                 0.9131,                0.82458,                0.88601,                0.64597,                0.96044,                0.58307,                 1.0232,               0.000496,               0.000496,               0.000496
                     99,                0.74136,                0.44596,                0.91368,                0.91409,                 0.8315,                0.88328,                0.64558,                0.95666,                0.57931,                 1.0201,               0.000397,               0.000397,               0.000397
                    100,                0.75048,                0.44885,                0.91449,                0.90681,                0.84555,                0.88495,                0.64112,                0.96991,                0.57994,                 1.0241,               0.000298,               0.000298,               0.000298
